Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2016-11-14 00:00:00;2016;BMW;16BM146;435i Coupé;477000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM147;435i Gran Coupé;474000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM148;435i xDrive Cabriolet;581500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM149;435i xDrive Coupé;497000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM150;435i xDrive Gran Coupé;494000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM294;440i Cabriolet;586000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM295;440i Coupé;480500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM296;440i Gran Coupé;498500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM297;440i xDrive Cabriolet;606000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM298;440i xDrive Coupé;500500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM299;440i xDrive Gran Coupé;518500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM151;518d Sedan;355500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM152;518d Touring;376400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM153;520d GT;461000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM154;520d Sedan;372500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM155;520d Sedan Comfort Edition;343000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM156;520d Touring;391400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM157;520d Touring Comfort Edition;360000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM158;520d xDrive Sedan;417500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM159;520d xDrive Sedan Comfort Edition;362800;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM160;520d xDrive Touring;436400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM161;520d xDrive Touring Comfort Edition;379800;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM162;520i Sedan;375500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM163;520i Touring;394400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM164;525d Sedan;425500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM165;525d Touring;444400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM166;525d xDrive Sedan;470500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM167;525d xDrive Touring;489400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM168;528i Sedan;413500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM169;528i Touring;432400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM170;528i xDrive Sedan;458500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM171;528i xDrive Touring;477400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM172;530d GT;562000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM173;530d Sedan;485500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM174;530d Touring;504400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM175;530d xDrive GT;585000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM300;530d xDrive GT M Sport Edition;600000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM176;530d xDrive Sedan;508500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM177;530d xDrive Sedan Comfort Edition;460900;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM178;530d xDrive Touring;527400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM179;530d xDrive Touring Comfort Edition;478900;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM180;535d GT;622000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM181;535d Sedan;568500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM182;535d Touring;564400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM183;535d xDrive GT;645000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM301;535d xDrive GT M Sport Edition;660000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM184;535d xDrive Sedan;545500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM185;535d xDrive Sedan Comfort Edition;517900;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM186;535d xDrive Touring;587400;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM187;535d xDrive Touring Comfort Edition;535900;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM188;535i GT;582000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM189;535i Sedan;483500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM190;535i Touring;502400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM191;535i xDrive GT;605000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM192;535i xDrive Sedan;528500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM193;535i xDrive Touring;547400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM194;550i GT;743000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM195;550i Sedan;685500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM196;550i Touring;704400;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM197;550i xDrive GT;766000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM198;550i xDrive Sedan;708500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM199;640d Cabriolet LCI;926000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM200;640d Gran Coupé LCI;856000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM201;640d LCI;834000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM202;640d xDrive Cabriolet LCI;961000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM203;640d xDrive Gran Coupé LCI;891000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM204;640d xDrive LCI;869000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM205;640i Cabriolet LCI;882000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM206;640i Gran Coupé LCI;812000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM207;640i LCI;790000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM208;640i xDrive Cabriolet LCI;917000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM209;640i xDrive Gran Coupé LCI;847000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM210;640i xDrive LCI;825000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM211;650i Cabriolet LCI;1005000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM212;650i Gran Coupé LCI;946000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM213;650i LCI;913000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM214;650i xDrive Cabriolet LCI;1040000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM215;650i xDrive Gran Coupé LCI;981000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM216;650i xDrive LCI;948000;Bensin;;
