Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2018-11-16 00:00:00;2018;Audi;18AU224;A1 Sportback 30 TFSI 116 hk Proline;225900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU225;A1 Sportback 30 TFSI 116 hk Proline advanced;246400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU226;A1 Sportback 30 TFSI 116 hk S line;257900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU227;A1 Sportback 35 TFSI 150 hk Proline;236900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU228;A1 Sportback 35 TFSI 150 hk Proline advanced;260400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU229;A1 Sportback 35 TFSI 150 hk S line;271900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU013;A3 Cabriolet 1.5 TFSI 150 hk Proline Sport;335900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU014;A3 Cabriolet 2.0 TDI 150 hk Proline Sport;348100;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU015;A3 Cabriolet 2.0 TDI 150 hk quattro Proline Sport;364600;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU016;A3 Cabriolet 2.0 TDI 184 hk quattro S tronic Proline Sport;411900;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU017;A3 Cabriolet 2.0 TFSI 190 hk quattro S tronic Proline Sport;406200;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU018;A3 Sedan 1.0 TFSI 116 hk Proline;260400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU019;A3 Sedan 1.0 TFSI 116 hk Proline Sport;278300;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU020;A3 Sedan 1.5 TFSI 150 hk Proline;277500;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU021;A3 Sedan 1.5 TFSI 150 hk Proline Sport;295400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU022;A3 Sedan 1.6 TDI 116 hk Proline;278600;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU023;A3 Sedan 1.6 TDI 116 hk Proline Sport;296500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU024;A3 Sedan 2.0 TDI 150 hk Proline;289700;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU025;A3 Sedan 2.0 TDI 150 hk Proline Sport;307600;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU026;A3 Sedan 2.0 TDI 150 hk quattro Proline;306200;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU027;A3 Sedan 2.0 TDI 150 hk quattro Proline Sport;324100;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU028;A3 Sedan 2.0 TDI 184 hk quattro S tronic Proline Sport;371400;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU029;A3 Sedan 2.0 TFSI 190 hk quattro S tronic Proline Sport;365700;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU230;A3 Sedan 30 TFSI 116 hk S line black;316500;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU231;A3 Sedan 35 TFSI 150 hk S line black;333600;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU030;A3 Sportback 1.0 TFSI 116 hk Proline;249000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU031;A3 Sportback 1.0 TFSI 116 hk Proline Sport;266900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU033;A3 Sportback 1.4 TFSI e-tron 150 hk S tronic Proline, miljöbil;401400;Laddhybrid;18AU036;39400
Personbil;2018-11-16 00:00:00;2018;Audi;18AU032;A3 Sportback 1.4 TFSI e-tron 150 hk S tronic Proline Sport, miljöbil;419300;Laddhybrid;18AU037;34000
Personbil;2018-11-16 00:00:00;2018;Audi;18AU035;A3 Sportback 1.4 TFSI g-tron 110 hk Proline, miljöbil;273500;Gas;18AU030;
